"Дата","Время","Площадка","Категория","Id товара"
"datetime","parsing_time","platform","category","inner_product_id"
"2021-01-26","00:00:00",1,"",224671888
"2020-10-24","00:00:00",1,"",178543307
"2020-10-25","00:00:00",1,"",200711852
"2021-01-12","00:00:00",1,"",204930295
"2020-10-31","00:00:00",1,"",163349289
"2021-02-12","00:00:00",1,"",225923874
"2020-10-24","00:00:00",1,"",173665809
"2020-11-09","00:00:00",1,"",205276380
"2020-10-24","00:00:00",1,"",202465712
"2020-11-25","00:00:00",1,"",193677619
"2020-10-24","00:00:00",1,"",172793415
"2020-12-29","00:00:00",1,"",219499712
"2020-10-30","00:00:00",1,"",184028151
"2020-10-24","00:00:00",1,"",185414034
"2020-10-31","00:00:00",1,"",203656353
"2020-10-24","00:00:00",1,"",162132863
"2020-10-30","00:00:00",1,"",199487226
"2021-02-13","00:00:00",1,"",229335387
"2020-11-07","00:00:00",1,"",174785280
"2020-11-23","00:00:00",1,"",152559332
"2020-10-24","00:00:00",1,"",190694241
"2020-10-31","00:00:00",1,"",185043385
"2020-12-01","00:00:00",1,"",208895570
"2020-11-29","00:00:00",1,"",170286487
"2020-11-06","00:00:00",1,"",173093411
"2021-01-10","00:00:00",1,"",175904591
"2020-10-25","00:00:00",1,"",182822803
"2020-10-29","00:00:00",1,"",166598083
"2020-10-25","00:00:00",1,"",162815771
"2020-12-13","00:00:00",1,"",215023533
"2020-10-29","00:00:00",1,"",173771272
"2020-12-23","00:00:00",1,"",218257551
"2020-10-31","00:00:00",1,"",167887056
"2021-01-29","00:00:00",1,"",223875671
"2021-01-27","00:00:00",1,"",200604341
"2021-02-12","00:00:00",1,"",215631750
"2020-11-06","00:00:00",1,"",204773614
"2020-10-24","00:00:00",1,"",191711849
"2020-10-31","00:00:00",1,"",188772101
"2020-11-25","00:00:00",1,"",208589366
"2020-12-10","00:00:00",1,"",214274043
"2020-10-26","00:00:00",1,"",199963336
"2020-12-04","00:00:00",1,"",213049423
"2020-11-17","00:00:00",1,"",207372071
"2020-11-03","00:00:00",1,"",204165267
"2020-10-25","00:00:00",1,"",192053780
"2020-10-31","00:00:00",1,"",176666737
"2021-02-11","00:00:00",1,"",229180738
"2020-10-24","00:00:00",1,"",185554315
"2020-11-03","00:00:00",1,"",199330531
"2020-12-14","00:00:00",1,"",155535374
"2020-10-30","00:00:00",1,"",172948062
"2021-01-17","00:00:00",1,"",222615512
"2020-12-01","00:00:00",1,"",169674079
"2021-02-12","00:00:00",1,"",229247152
"2020-11-14","00:00:00",1,"",183753271
"2021-01-25","00:00:00",1,"",207565525
"2020-10-30","00:00:00",1,"",185000018
"2021-02-14","00:00:00",1,"",226962908
"2020-11-07","00:00:00",1,"",203971937
"2020-10-31","00:00:00",1,"",194990222
"2021-02-11","00:00:00",1,"",214336009
"2020-11-27","00:00:00",1,"",154899043
"2021-02-18","00:00:00",1,"",227382775
"2020-12-29","00:00:00",1,"",219424043
"2021-02-11","00:00:00",1,"",223244275
"2020-10-30","00:00:00",1,"",199395089
"2020-10-24","00:00:00",1,"",194373797
"2020-10-24","00:00:00",1,"",190190241
"2020-12-23","00:00:00",1,"",215216735
"2020-12-02","00:00:00",1,"",212114923
"2020-10-25","00:00:00",1,"",201150316
"2020-11-07","00:00:00",1,"",166533169
